Pin,Cpu Pin name,SOM pin name,Label,GPIO,MMDC,UART,ELCDIF,EPDC,EIM,uSDHC,ENET,ECSPI,SAI,CSI,FTM,KPP,I2C,SIM,CCM,USB,SRC,GPT,ARM_PLATFORM,FLEXCAN,NAND,QSPI,PWM,WDOG,PCIE,XTALOSC,SNVS,SJC,ADC,SDMA,MIPI_CSI2,MIPI_DSI,MQS,Other,Routing for BOARD_InitPins
J28,EPDC1_SDLE,,X2A40,"GPIO2_IO17(GPIO2,gpio_io,17)",,,"LCD_DATA16(ELCDIF,lcd_data,16)/LCD_DATA08(ELCDIF,lcd_data,08)","EPDC_SDLE(EPDC,epdc_sdle)","EIM_AD11(EIM,eim_ad,11)",,"RGMII2_RD1(ENET2,rgmii_rd,1)",,,,,"KEY_COL4(KPP,key_col,4)",,"SIM2_PORT2_PD(SIM2,sim_port2_pd)",,,,,,,,,,,,,,,,,,,,,"RGMII2_RD1(ENET2,rgmii_rd,1)"
G25,EPDC1_SDOE,,X2A41,"GPIO2_IO18(GPIO2,gpio_io,18)",,,"LCD_DATA17(ELCDIF,lcd_data,17)/LCD_DATA23(ELCDIF,lcd_data,23)","EPDC_SDOE(EPDC,epdc_sdoe)","EIM_AD12(EIM,eim_ad,12)",,"RGMII2_RD2(ENET2,rgmii_rd,2)",,,,"FLEXTIMER1_CH0(FTM1,flextimer_ch,0)","KEY_COL5(KPP,key_col,5)",,,,,,,,,,,,,,,,,,,,,,,"RGMII2_RD2(ENET2,rgmii_rd,2)"
F26,EPDC1_SDSHR,,X2A42,"GPIO2_IO19(GPIO2,gpio_io,19)",,,"LCD_DATA18(ELCDIF,lcd_data,18)/LCD_DATA10(ELCDIF,lcd_data,10)","EPDC_SDSHR(EPDC,epdc_sdshr)","EIM_AD13(EIM,eim_ad,13)",,"RGMII2_RD3(ENET2,rgmii_rd,3)",,,,"FLEXTIMER1_CH1(FTM1,flextimer_ch,1)","KEY_ROW5(KPP,key_row,5)",,,,,,,,,,,,,,,,,,,,,,,"RGMII2_RD3(ENET2,rgmii_rd,3)"
J25,EPDC1_SDCE0,,X2A44,"GPIO2_IO20(GPIO2,gpio_io,20)",,,"LCD_DATA19(ELCDIF,lcd_data,19)/LCD_DATA05(ELCDIF,lcd_data,05)","EPDC_SDCE0(EPDC,epdc_sdce,0)","EIM_AD14(EIM,eim_ad,14)",,"RGMII2_RX_CTL(ENET2,rgmii_rx_ctl)",,,,"FLEXTIMER1_CH2(FTM1,flextimer_ch,2)",,,,,,,,,,,,,,,,,,,,,,,,"RGMII2_RX_CTL(ENET2,rgmii_rx_ctl)"
J24,EPDC1_SDCE1,,X2A45,"GPIO2_IO21(GPIO2,gpio_io,21)",,,"LCD_DATA20(ELCDIF,lcd_data,20)/LCD_DATA04(ELCDIF,lcd_data,04)","EPDC_SDCE1(EPDC,epdc_sdce,1)","EIM_AD15(EIM,eim_ad,15)",,"RGMII2_RXC(ENET2,rgmii_rxc)/ENET2_RX_ER(ENET2,enet_rx_er)",,,,"FLEXTIMER1_CH3(FTM1,flextimer_ch,3)",,,,,,,,,,,,,,,,,,,,,,,,"RGMII2_RXC(ENET2,rgmii_rxc)"
L24,EPDC1_GDRL,,X2A46,"GPIO2_IO26(GPIO2,gpio_io,26)",,,"LCD_RD_E(ELCDIF,lcd_rd_e)/LCD_DATA19(ELCDIF,lcd_data,19)","EPDC_GDRL(EPDC,epdc_gdrl)","EIM_ADDR20(EIM,eim_addr,20)",,"RGMII2_TX_CTL(ENET2,rgmii_tx_ctl)",,,,"FLEXTIMER2_CH2(FTM2,flextimer_ch,2)",,,,,,,,,,,,,,,,,,,,,,,,"RGMII2_TX_CTL(ENET2,rgmii_tx_ctl)"
K27,EPDC1_GDSP,,X2A47,"GPIO2_IO27(GPIO2,gpio_io,27)",,,"LCD_BUSY(ELCDIF,lcd_busy)/LCD_DATA17(ELCDIF,lcd_data,17)","EPDC_GDSP(EPDC,epdc_gdsp)","EIM_ADDR21(EIM,eim_addr,21)",,"RGMII2_TXC(ENET2,rgmii_txc)/ENET2_TX_ER(ENET2,enet_tx_er)",,,,"FLEXTIMER2_CH3(FTM2,flextimer_ch,3)",,,,,,,,,,,,,,,,,,,,,,,,"RGMII2_TXC(ENET2,rgmii_txc)"
G22,EPDC1_SDCE2,,X2A49,"GPIO2_IO22(GPIO2,gpio_io,22)",,,"LCD_DATA21(ELCDIF,lcd_data,21)/LCD_DATA03(ELCDIF,lcd_data,03)","EPDC_SDCE2(EPDC,epdc_sdce,2)","EIM_ADDR16(EIM,eim_addr,16)",,"RGMII2_TD0(ENET2,rgmii_td,0)",,,,,"KEY_COL6(KPP,key_col,6)",,"SIM2_PORT1_SVEN(SIM2,sim_port1_sven)",,,,,,,,,,,,,,,,,,,,,"RGMII2_TD0(ENET2,rgmii_td,0)"
G23,EPDC1_SDCE3,,X2A50,"GPIO2_IO23(GPIO2,gpio_io,23)",,,"LCD_DATA22(ELCDIF,lcd_data,22)/LCD_DATA02(ELCDIF,lcd_data,02)","EPDC_SDCE3(EPDC,epdc_sdce,3)","EIM_ADDR17(EIM,eim_addr,17)",,"RGMII2_TD1(ENET2,rgmii_td,1)",,,,,"KEY_ROW6(KPP,key_row,6)",,"SIM2_PORT1_PD(SIM2,sim_port1_pd)",,,,,,,,,,,,,,,,,,,,,"RGMII2_TD1(ENET2,rgmii_td,1)"
J23,EPDC1_GDCLK,,X2A51,"GPIO2_IO24(GPIO2,gpio_io,24)",,,"LCD_DATA23(ELCDIF,lcd_data,23)/LCD_DATA16(ELCDIF,lcd_data,16)","EPDC_GDCLK(EPDC,epdc_gdclk)","EIM_ADDR18(EIM,eim_addr,18)",,"RGMII2_TD2(ENET2,rgmii_td,2)",,,,"FLEXTIMER2_CH0(FTM2,flextimer_ch,0)","KEY_COL7(KPP,key_col,7)",,,,,,,,,,,,,,,,,,,,,,,"RGMII2_TD2(ENET2,rgmii_td,2)"
J22,EPDC1_GDOE,,X2A52,"GPIO2_IO25(GPIO2,gpio_io,25)",,,"LCD_WR_RWN(ELCDIF,lcd_wr_rwn)/LCD_DATA18(ELCDIF,lcd_data,18)","EPDC_GDOE(EPDC,epdc_gdoe)","EIM_ADDR19(EIM,eim_addr,19)",,"RGMII2_TD3(ENET2,rgmii_td,3)",,,,"FLEXTIMER2_CH1(FTM2,flextimer_ch,1)","KEY_ROW7(KPP,key_row,7)",,,,,,,,,,,,,,,,,,,,,,,"RGMII2_TD3(ENET2,rgmii_td,3)"
AB5,GPIO1_IO10,,X2A54,"GPIO1_IO10(GPIO1,gpio_io,10)",,"UART3_RTS_B(UART3,uart_rts_b)",,,,"SD2_LCTL(uSDHC2,sd_lctl)","ENET1_MDIO(ENET1,enet_mdio)",,,,"FLEXTIMER1_PHA(FTM1,flextimer_pha)","KEY_COL6(KPP,key_col,6)","I2C4_SCL(I2C4,i2c_scl)",,,,,,,,,,"PWM3_OUT(PWM3,pwm_out)",,,,,,,,,,,,"ENET1_MDIO(ENET1,enet_mdio)"
AB6,GPIO1_IO11,,X2A55,"GPIO1_IO11(GPIO1,gpio_io,11)",,"UART3_CTS_B(UART3,uart_cts_b)",,,,"SD3_LCTL(uSDHC3,sd_lctl)","ENET1_MDC(ENET1,enet_mdc)",,,,"FLEXTIMER1_PHB(FTM1,flextimer_phb)","KEY_ROW6(KPP,key_row,6)","I2C4_SDA(I2C4,i2c_sda)",,,,,,,,,,"PWM4_OUT(PWM4,pwm_out)",,,,,,,,,,,,"ENET1_MDC(ENET1,enet_mdc)"
F13,ENET1_TX_CLK,,X2A59,"GPIO7_IO12(GPIO7,gpio_io,12)",,,,"EPDC_PWR_IRQ(EPDC,epdc_pwr_irq)",,,"ENET1_TX_CLK(ENET1,enet_tx_clk)",,"SAI1_RX_DATA(SAI1,sai_rx_data)",,,,,,"CCM_ENET_REF_CLK1(CCM,ccm_enet_ref_clk,1)/CCM_EXT_CLK1(CCM,ccm_ext_clk,1)",,,"GPT2_COMPARE3(GPT2,gpt_compare,3)",,,,,,,,,,,,,,,,,"SAI1_RX_DATA(SAI1,sai_rx_data)"
C6,ENET1_RX_CLK,,X2A60,"GPIO7_IO13(GPIO7,gpio_io,13)",,,,"EPDC_PWR_WAKE(EPDC,epdc_pwr_wake)",,,"ENET1_RX_CLK(ENET1,enet_rx_clk)",,"SAI1_TX_BCLK(SAI1,sai_tx_bclk)",,,,,,"CCM_EXT_CLK2(CCM,ccm_ext_clk,2)",,,"GPT2_CLK(GPT2,gpt_clk)",,,,,,"WDOG2_B(WDOG2,wdog_b)",,,,,,,,,,,"SAI1_TX_BCLK(SAI1,sai_tx_bclk)"
F7,ENET1_RDATA0,,X2B1,"GPIO7_IO00(GPIO7,gpio_io,00)",,"UART1_CTS_B(UART1,uart_cts_b)",,"EPDC_VCOM0(EPDC,epdc_vcom,0)",,,"RGMII1_RD0(ENET1,rgmii_rd,0)",,,,,"KEY_ROW3(KPP,key_row,3)","I2C3_SCL(I2C3,i2c_scl)",,,,,,,,,,"PWM1_OUT(PWM1,pwm_out)",,,,,,,,,,,,"RGMII1_RD0(ENET1,rgmii_rd,0)"
E7,ENET1_RDATA1,,X2B2,"GPIO7_IO01(GPIO7,gpio_io,01)",,"UART1_RTS_B(UART1,uart_rts_b)",,"EPDC_VCOM1(EPDC,epdc_vcom,1)",,,"RGMII1_RD1(ENET1,rgmii_rd,1)",,,,,"KEY_COL3(KPP,key_col,3)","I2C3_SDA(I2C3,i2c_sda)",,,,,,,,,,"PWM2_OUT(PWM2,pwm_out)",,,,,,,,,,,,"RGMII1_RD1(ENET1,rgmii_rd,1)"
D7,ENET1_RDATA2,,X2B3,"GPIO7_IO02(GPIO7,gpio_io,02)",,"UART1_RX_DATA(UART1,uart_rx_data)",,"EPDC_SDCE4(EPDC,epdc_sdce,4)",,,"RGMII1_RD2(ENET1,rgmii_rd,2)","ECSPI2_SCLK(ECSPI2,ecspi_sclk)",,,,"KEY_ROW2(KPP,key_row,2)",,,,,,,,"FLEXCAN1_RX(FLEXCAN1,flexcan_rx)",,,,,,,,,,,,,,,"RGMII1_RD2(ENET1,rgmii_rd,2)"
D16,ENET1_RDATA3,,X2B4,"GPIO7_IO03(GPIO7,gpio_io,03)",,"UART1_TX_DATA(UART1,uart_tx_data)",,"EPDC_SDCE5(EPDC,epdc_sdce,5)",,,"RGMII1_RD3(ENET1,rgmii_rd,3)","ECSPI2_MOSI(ECSPI2,ecspi_mosi)",,,,"KEY_COL2(KPP,key_col,2)",,,,,,,,"FLEXCAN1_TX(FLEXCAN1,flexcan_tx)",,,,,,,,,,,,,,,"RGMII1_RD3(ENET1,rgmii_rd,3)"
E13,ENET1_TDATA0,,X2B6,"GPIO7_IO06(GPIO7,gpio_io,06)",,,,"EPDC_SDCE8(EPDC,epdc_sdce,8)",,,"RGMII1_TD0(ENET1,rgmii_td,0)","ECSPI2_SS3(ECSPI2,ecspi_ss,3)",,,,"KEY_ROW0(KPP,key_row,0)",,,,,,,,,,,"PWM3_OUT(PWM3,pwm_out)",,,,,,,,,,,,"RGMII1_TD0(ENET1,rgmii_td,0)"
D13,ENET1_TDATA1,,X2B7,"GPIO7_IO07(GPIO7,gpio_io,07)",,,,"EPDC_SDCE9(EPDC,epdc_sdce,9)",,,"RGMII1_TD1(ENET1,rgmii_td,1)","ECSPI2_RDY(ECSPI2,ecspi_rdy)",,,,"KEY_COL0(KPP,key_col,0)",,,,,,,,,,,"PWM4_OUT(PWM4,pwm_out)",,,,,,,,,,,,"RGMII1_TD1(ENET1,rgmii_td,1)"
E16,ENET1_TDATA2,,X2B8,"GPIO7_IO08(GPIO7,gpio_io,08)",,,,"EPDC_SDOED(EPDC,epdc_sdoed)",,,"RGMII1_TD2(ENET1,rgmii_td,2)","ECSPI2_MISO(ECSPI2,ecspi_miso)",,,,,"I2C4_SCL(I2C4,i2c_scl)",,,,,,,"FLEXCAN2_RX(FLEXCAN2,flexcan_rx)",,,,,,,,,,,,,,,"RGMII1_TD2(ENET1,rgmii_td,2)"
F16,ENET1_TDATA3,,X2B9,"GPIO7_IO09(GPIO7,gpio_io,09)",,,,"EPDC_SDOEZ(EPDC,epdc_sdoez)",,,"RGMII1_TD3(ENET1,rgmii_td,3)","ECSPI2_SS0(ECSPI2,ecspi_ss,0)",,,,,"I2C4_SDA(I2C4,i2c_sda)",,,,,,,"FLEXCAN2_TX(FLEXCAN2,flexcan_tx)",,,,,,,,,,,,,,,"RGMII1_TD3(ENET1,rgmii_td,3)"
G9,ENET1_TXC,,X2B11,"GPIO7_IO11(GPIO7,gpio_io,11)",,,,"EPDC_PWR_CTRL3(EPDC,epdc_pwr_ctrl,3)",,,"RGMII1_TXC(ENET1,rgmii_txc)/ENET1_TX_ER(ENET1,enet_tx_er)",,"SAI1_RX_BCLK(SAI1,sai_rx_bclk)",,,,,,,,,"GPT2_COMPARE2(GPT2,gpt_compare,2)",,,,,,,,,,,,,,,,,"RGMII1_TXC(ENET1,rgmii_txc)"
G11,ENET1_TX_CTL,,X2B12,"GPIO7_IO10(GPIO7,gpio_io,10)",,,,"EPDC_PWR_CTRL2(EPDC,epdc_pwr_ctrl,2)",,,"RGMII1_TX_CTL(ENET1,rgmii_tx_ctl)",,"SAI1_RX_SYNC(SAI1,sai_rx_sync)",,,,,,,,,"GPT2_COMPARE1(GPT2,gpt_compare,1)",,,,,,,,,,,,,,,,,"RGMII1_TX_CTL(ENET1,rgmii_tx_ctl)"
F11,ENET1_RXC,,X2B13,"GPIO7_IO05(GPIO7,gpio_io,05)",,,,"EPDC_SDCE7(EPDC,epdc_sdce,7)",,,"RGMII1_RXC(ENET1,rgmii_rxc)/ENET1_RX_ER(ENET1,enet_rx_er)","ECSPI2_SS2(ECSPI2,ecspi_ss,2)",,,,"KEY_COL1(KPP,key_col,1)",,,,,,,,,,,,,,,,,,,,,,,"RGMII1_RXC(ENET1,rgmii_rxc)"
E11,ENET1_RX_CTL,,X2B14,"GPIO7_IO04(GPIO7,gpio_io,04)",,,,"EPDC_SDCE6(EPDC,epdc_sdce,6)",,,"RGMII1_RX_CTL(ENET1,rgmii_rx_ctl)","ECSPI2_SS1(ECSPI2,ecspi_ss,1)",,,,"KEY_ROW1(KPP,key_row,1)",,,,,,,,,,,,,,,,,,,,,,,"RGMII1_RX_CTL(ENET1,rgmii_rx_ctl)"
B25,MIPI_DSI_D0_N,,X2B16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_DSI_D0_N(MIPI_DSI,mipi_dsi_d0_n)",,,"MIPI_DSI_D0_N(MIPI_DSI,mipi_dsi_d0_n)"
A25,MIPI_DSI_D0_P,,X2B17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_DSI_D0_P(MIPI_DSI,mipi_dsi_d0_p)",,,"MIPI_DSI_D0_P(MIPI_DSI,mipi_dsi_d0_p)"
A24,MIPI_DSI_CLK_P,,X2B19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_DSI_CLK_P(MIPI_DSI,mipi_dsi_clk_p)",,,"MIPI_DSI_CLK_P(MIPI_DSI,mipi_dsi_clk_p)"
B24,MIPI_DSI_CLK_N,,X2B20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_DSI_CLK_N(MIPI_DSI,mipi_dsi_clk_n)",,,"MIPI_DSI_CLK_N(MIPI_DSI,mipi_dsi_clk_n)"
A22,MIPI_DSI_D1_N,,X2B22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_DSI_D1_N(MIPI_DSI,mipi_dsi_d1_n)",,,"MIPI_DSI_D1_N(MIPI_DSI,mipi_dsi_d1_n)"
B22,MIPI_DSI_D1_P,,X2B23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_DSI_D1_P(MIPI_DSI,mipi_dsi_d1_p)",,,"MIPI_DSI_D1_P(MIPI_DSI,mipi_dsi_d1_p)"
A18,MIPI_CSI_D0_P,,X2B25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_CSI_D0_P(MIPI_CSI2,mipi_csi_d0_p)",,,,"MIPI_CSI_D0_P(MIPI_CSI2,mipi_csi_d0_p)"
B18,MIPI_CSI_D0_N,,X2B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_CSI_D0_N(MIPI_CSI2,mipi_csi_d0_n)",,,,"MIPI_CSI_D0_N(MIPI_CSI2,mipi_csi_d0_n)"
B16,MIPI_CSI_CLK_N,,X2B28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_CSI_CLK_N(MIPI_CSI2,mipi_csi_clk_n)",,,,"MIPI_CSI_CLK_N(MIPI_CSI2,mipi_csi_clk_n)"
A16,MIPI_CSI_CLK_P,,X2B29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_CSI_CLK_P(MIPI_CSI2,mipi_csi_clk_p)",,,,"MIPI_CSI_CLK_P(MIPI_CSI2,mipi_csi_clk_p)"
B15,MIPI_CSI_D1_N,,X2B31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_CSI_D1_N(MIPI_CSI2,mipi_csi_d1_n)",,,,"MIPI_CSI_D1_N(MIPI_CSI2,mipi_csi_d1_n)"
B14,MIPI_CSI_D1_P,,X2B32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIPI_CSI_D1_P(MIPI_CSI2,mipi_csi_d1_p)",,,,"MIPI_CSI_D1_P(MIPI_CSI2,mipi_csi_d1_p)"
A13,USB_H_DATA,,X2B34,,,,,,,,,,,,,,,,,"USB_H_DATA(USB,usb_h_data)",,,,,,,,,,,,,,,,,,,"USB_H_DATA(USB,usb_h_data)"
B13,USB_H_STROBE,,X2B35,,,,,,,,,,,,,,,,,"USB_H_STROBE(USB,usb_h_strobe)",,,,,,,,,,,,,,,,,,,"USB_H_STROBE(USB,usb_h_strobe)"
A11,USB_OTG2_DP,,X2B37,,,,,,,,,,,,,,,,,"USB_OTG2_DP(USB,usb_otg2_dp)",,,,,,,,,,,,,,,,,,,"USB_OTG2_DP(USB,usb_otg2_dp)"
B11,USB_OTG2_DN,,X2B38,,,,,,,,,,,,,,,,,"USB_OTG2_DN(USB,usb_otg2_dn)",,,,,,,,,,,,,,,,,,,"USB_OTG2_DN(USB,usb_otg2_dn)"
A7,USB_OTG1_DP,,X2B40,,,,,,,,,,,,,,,,,"USB_OTG1_DP(USB,usb_otg1_dp)",,,,,,,,,,,,,,,,,,,"USB_OTG1_DP(USB,usb_otg1_dp)"
B7,USB_OTG1_DN,,X2B41,,,,,,,,,,,,,,,,,"USB_OTG1_DN(USB,usb_otg1_dn)",,,,,,,,,,,,,,,,,,,"USB_OTG1_DN(USB,usb_otg1_dn)"
B9,USB_OTG1_ID,,X2B43,,,,,,,,,,,,,,,,,"USB_OTG1_ID(USB,usb_otg1_id)",,,,,,,,,,,,,,,,,,,"USB_OTG1_ID(USB,usb_otg1_id)"
C9,USB_OTG1_VBUS,,X2B44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B10,USB_OTG2_ID,,X2B45,,,,,,,,,,,,,,,,,"USB_OTG2_ID(USB,usb_otg2_id)",,,,,,,,,,,,,,,,,,,"USB_OTG2_ID(USB,usb_otg2_id)"
C11,USB_OTG2_VBUS,,X2B46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,UART3_RTS,,X2B48,"GPIO4_IO06(GPIO4,gpio_io,06)",,"UART3_RTS_B(UART3,uart_rts_b)",,,,"SD3_LCTL(uSDHC3,sd_lctl)","ENET1_1588_EVENT1_IN(ENET1,enet_1588_event1_in)","ECSPI1_SCLK(ECSPI1,ecspi_sclk)","SAI3_TX_DATA(SAI3,sai_tx_data)",,,,,,,"USB_OTG2_OC(USB,usb_otg2_oc)",,,,,,,,,,,,,,,,,,,"USB_OTG2_OC(USB,usb_otg2_oc)"
V3,UART3_CTS,,X2B49,"GPIO4_IO07(GPIO4,gpio_io,07)",,"UART3_CTS_B(UART3,uart_cts_b)",,,,"SD1_VSELECT(uSDHC1,sd_vselect)","ENET1_1588_EVENT1_OUT(ENET1,enet_1588_event1_out)","ECSPI1_SS0(ECSPI1,ecspi_ss,0)","SAI3_TX_SYNC(SAI3,sai_tx_sync)",,,,,,,"USB_OTG2_PWR(USB,usb_otg2_pwr)",,,,,,,,,,,,,,,,,,,"USB_OTG2_PWR(USB,usb_otg2_pwr)"
Y5,GPIO1_IO04,,X2B50,"GPIO1_IO04(GPIO1,gpio_io,04)",,"UART5_CTS_B(UART5,uart_cts_b)",,,,,,,,,"FLEXTIMER1_CH4(FTM1,flextimer_ch,4)",,"I2C1_SCL(I2C1,i2c_scl)",,,"USB_OTG1_OC(USB,usb_otg1_oc)",,,,,,,,,,,,,,,,,,,"USB_OTG1_OC(USB,usb_otg1_oc)"
Y4,GPIO1_IO05,,X2B51,"GPIO1_IO05(GPIO1,gpio_io,05)",,"UART5_RTS_B(UART5,uart_rts_b)",,,,,,,,,"FLEXTIMER1_CH5(FTM1,flextimer_ch,5)",,"I2C1_SDA(I2C1,i2c_sda)",,,"USB_OTG1_PWR(USB,usb_otg1_pwr)",,,,,,,,,,,,,,,,,,,"USB_OTG1_PWR(USB,usb_otg1_pwr)"
F6,SAI2_TXFS,,X2B53,"GPIO6_IO19(GPIO6,gpio_io,19)",,"UART4_RX_DATA(UART4,uart_rx_data)/UART1_CTS_B(UART1,uart_cts_b)",,,,,,"ECSPI3_MISO(ECSPI3,ecspi_miso)","SAI2_TX_SYNC(SAI2,sai_tx_sync)",,"FLEXTIMER2_CH4(FTM2,flextimer_ch,4)",,,,,,,,,,,,,,,,,,,,,,,,"ECSPI3_MISO(ECSPI3,ecspi_miso)"
D4,SAI2_TXC,,X2B54,"GPIO6_IO20(GPIO6,gpio_io,20)",,"UART4_TX_DATA(UART4,uart_tx_data)/UART1_RTS_B(UART1,uart_rts_b)",,,,,,"ECSPI3_MOSI(ECSPI3,ecspi_mosi)","SAI2_TX_BCLK(SAI2,sai_tx_bclk)",,"FLEXTIMER2_CH5(FTM2,flextimer_ch,5)",,,,,,,,,,,,,,,,,,,,,,,,"ECSPI3_MOSI(ECSPI3,ecspi_mosi)"
E6,SAI2_RXD,,X2B55,"GPIO6_IO21(GPIO6,gpio_io,21)",,"UART4_CTS_B(UART4,uart_cts_b)/UART2_CTS_B(UART2,uart_cts_b)",,,,,,"ECSPI3_SCLK(ECSPI3,ecspi_sclk)","SAI2_RX_DATA(SAI2,sai_rx_data)",,"FLEXTIMER2_CH6(FTM2,flextimer_ch,6)","KEY_COL7(KPP,key_col,7)",,,,,,,,,,,,,,,,,,,,,,,"ECSPI3_SCLK(ECSPI3,ecspi_sclk)"
D6,SAI2_TXD,,X2B56,"GPIO6_IO22(GPIO6,gpio_io,22)",,"UART4_RTS_B(UART4,uart_rts_b)/UART2_RTS_B(UART2,uart_rts_b)",,,,,,"ECSPI3_SS0(ECSPI3,ecspi_ss,0)","SAI2_TX_DATA(SAI2,sai_tx_data)",,"FLEXTIMER2_CH7(FTM2,flextimer_ch,7)","KEY_ROW7(KPP,key_row,7)",,,,,,,,,,,,,,,,,,,,,,,"ECSPI3_SS0(ECSPI3,ecspi_ss,0)"
F18,ENET1_CRS,,X2B58,"GPIO7_IO14(GPIO7,gpio_io,14)",,,,"EPDC_PWR_CTRL0(EPDC,epdc_pwr_ctrl,0)",,,"ENET1_CRS(ENET1,enet_crs)",,"SAI1_TX_SYNC(SAI1,sai_tx_sync)",,,,,,"CCM_EXT_CLK3(CCM,ccm_ext_clk,3)",,,"GPT2_CAPTURE1(GPT2,gpt_capture,1)",,,,,,"WDOG2_RESET_B_DEB(WDOG2,wdog_reset_b_deb)",,,,,,,,,,,"SAI1_TX_SYNC(SAI1,sai_tx_sync)"
G18,ENET1_COL,,X2B59,"GPIO7_IO15(GPIO7,gpio_io,15)",,,,"EPDC_PWR_CTRL1(EPDC,epdc_pwr_ctrl,1)",,,"ENET1_COL(ENET1,enet_col)",,"SAI1_TX_DATA(SAI1,sai_tx_data)",,,,,,"CCM_EXT_CLK4(CCM,ccm_ext_clk,4)",,,"GPT2_CAPTURE2(GPT2,gpt_capture,2)",,,,,,"WDOG1_ANY(WDOG1,wdog_any)",,,,,,,,,,,"SAI1_TX_DATA(SAI1,sai_tx_data)"
V5,GPIO1_IO01,,X2B60,"GPIO1_IO01(GPIO1,gpio_io,01)",,,,,,,,,"SAI1_MCLK(SAI1,sai_mclk)",,,,,,"CCM_ENET_REF_CLK3(CCM,ccm_enet_ref_clk,3)",,,,,,,,"PWM1_OUT(PWM1,pwm_out)",,,"REF_CLK_24M(XTALOSC,ref_clk_24m)",,,,,,,,,"SAI1_MCLK(SAI1,sai_mclk)"
AE4,CCM_CLK1_N,,,,,,,,,,,,,,,,,,"CCM_CLK1_N(CCM,ccm_clk1_n)",,,,,,,,,,,,,,,,,,,,"CCM_CLK1_N(CCM,ccm_clk1_n)"
AE3,CCM_CLK1_P,,,,,,,,,,,,,,,,,,"CCM_CLK1_P(CCM,ccm_clk1_p)",,,,,,,,,,,,,,,,,,,,"CCM_CLK1_P(CCM,ccm_clk1_p)"
AE2,CCM_CLK2,,,,,,,,,,,,,,,,,,"CCM_CLK2(CCM,ccm_clk2)",,,,,,,,,,,,,,,,,,,,"CCM_CLK2(CCM,ccm_clk2)"
AD11,CCM_PMIC_STBY_REQ,,,,,,,,,,,,,,,,,,"CCM_PMIC_STBY_REQ(CCM,ccm_pmic_stby_req)",,,,,,,,,,,,,,,,,,,,"CCM_PMIC_STBY_REQ(CCM,ccm_pmic_stby_req)"
AC24,DRAM_ADDR00,,,,"DRAM_ADDR00(MMDC,dram_addr,00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR00(MMDC,dram_addr,00)"
AC25,DRAM_ADDR01,,,,"DRAM_ADDR01(MMDC,dram_addr,01)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR01(MMDC,dram_addr,01)"
AC26,DRAM_ADDR02,,,,"DRAM_ADDR02(MMDC,dram_addr,02)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR02(MMDC,dram_addr,02)"
AB25,DRAM_ADDR03,,,,"DRAM_ADDR03(MMDC,dram_addr,03)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR03(MMDC,dram_addr,03)"
AB24,DRAM_ADDR04,,,,"DRAM_ADDR04(MMDC,dram_addr,04)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR04(MMDC,dram_addr,04)"
AE23,DRAM_ADDR05,,,,"DRAM_ADDR05(MMDC,dram_addr,05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR05(MMDC,dram_addr,05)"
AF23,DRAM_ADDR06,,,,"DRAM_ADDR06(MMDC,dram_addr,06)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR06(MMDC,dram_addr,06)"
AE22,DRAM_ADDR07,,,,"DRAM_ADDR07(MMDC,dram_addr,07)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR07(MMDC,dram_addr,07)"
AD22,DRAM_ADDR08,,,,"DRAM_ADDR08(MMDC,dram_addr,08)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR08(MMDC,dram_addr,08)"
AC22,DRAM_ADDR09,,,,"DRAM_ADDR09(MMDC,dram_addr,09)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DRAM_ADDR09(MMDC,dram_addr,09)"
