#,Peripheral,Signal,Route to,Label,Identifier,Power group,Direction,Software Input On Field,Hysteresis Enable Field,Pull Up / Down Config. Field,Pull / Keep Select Field,Pull / Keep Enable Field,Open Drain Enable Field,Speed Field,Drive Strength Field,Slew Rate Field,DDR Select Field,DDR / CMOS Input Mode Field,On Die Termination Field,do_trim Field,do_trim_padn Field
T2,MMDC,"mmdc_sdqs_n, 1",DRAM_SDQS1_N,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
E15,ENET1,"enet_tdata, 0",ENET1_TX_DATA0,,n/a,NVCC_ENET (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E14,ENET1,"enet_tdata, 1",ENET1_TX_DATA1,,n/a,NVCC_ENET (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
F15,ENET1,enet_tx_en,ENET1_TX_EN,,n/a,NVCC_ENET (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
F14,ENET1,enet_tx_clk,ENET1_TX_CLK,,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
F16,ENET1,"enet_rdata, 0",ENET1_RX_DATA0,,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E17,ENET1,"enet_rdata, 1",ENET1_RX_DATA1,,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D15,ENET1,enet_rx_er,ENET1_RX_ER,,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E16,ENET1,enet_rx_en,ENET1_RX_EN,,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E2,CSI,"csi_data, 4",CSI_DATA02,phyCORE X1 pin 119,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
N15,SAI2,sai_tx_sync,JTAG_TDO,phyCORE X1 pin 82,n/a,NVCC_GPIO (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b10: 100K Ohm Pull Up,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b110: R0/6,0b1: Fast,n/a,n/a,n/a,n/a,n/a
N16,SAI2,sai_tx_bclk,JTAG_TDI,phyCORE X1 pin 79,n/a,NVCC_GPIO (3.3V),Output,0b0: Disabled,0b0: Disabled,0b01: 47K Ohm Pull Up,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
M14,SAI2,sai_rx_data,JTAG_TCK,phyCORE X1 pin 80,n/a,NVCC_GPIO (3.3V),Input,0b0: Disabled,0b0: Disabled,0b01: 47K Ohm Pull Up,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
N14,SAI2,sai_tx_data,JTAG_TRST_B,phyCORE X1 pin 84,n/a,NVCC_GPIO (3.3V),Output,0b0: Disabled,0b0: Disabled,0b01: 47K Ohm Pull Up,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
P14,SAI2,sai_mclk,JTAG_TMS,phyCORE X1 pin 83,n/a,NVCC_GPIO (3.3V),Output,0b0: Disabled,0b0: Disabled,0b01: 47K Ohm Pull Up,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
,,,,,,,,,,,,,,,,,,,,,
